Name,Type,Shape
shirt1_move1_pant1_x1_img001.png,shirt1,shirt
shirt1_move1_pant1_x1_img002.png,shirt1,shirt
shirt1_move1_pant1_x1_img003.png,shirt1,shirt
shirt1_move1_pant1_x1_img004.png,shirt1,shirt
shirt1_move1_pant1_x1_img005.png,shirt1,shirt
shirt1_move1_pant1_x1_img006.png,shirt1,shirt
shirt1_move1_pant1_x1_img007.png,shirt1,shirt
shirt1_move1_pant1_x1_img008.png,shirt1,shirt
shirt1_move1_pant1_x1_img009.png,shirt1,shirt
shirt1_move1_pant1_x1_img010.png,shirt1,shirt
shirt1_move1_pant1_x1_img011.png,shirt1,shirt
shirt1_move1_pant1_x1_img012.png,shirt1,shirt
shirt1_move1_pant1_x1_img013.png,shirt1,shirt
shirt1_move1_pant1_x1_img014.png,shirt1,shirt
shirt1_move1_pant1_x1_img015.png,shirt1,shirt
shirt1_move1_pant1_x1_img016.png,shirt1,shirt
shirt1_move1_pant1_x1_img017.png,shirt1,shirt
shirt1_move1_pant1_x1_img018.png,shirt1,shirt
shirt1_move1_pant1_x1_img019.png,shirt1,shirt
shirt1_move1_pant1_x1_img020.png,shirt1,shirt
shirt1_move1_pant1_x1_img021.png,shirt1,shirt
shirt1_move1_pant1_x1_img022.png,shirt1,shirt
shirt1_move1_pant1_x1_img023.png,shirt1,shirt
shirt1_move1_pant1_x1_img024.png,shirt1,shirt
shirt1_move1_pant1_x1_img025.png,shirt1,shirt
shirt1_move1_pant1_x1_img026.png,shirt1,shirt
shirt1_move1_pant1_x1_img027.png,shirt1,shirt
shirt1_move1_pant1_x1_img028.png,shirt1,shirt
shirt1_move1_pant1_x1_img029.png,shirt1,shirt
shirt1_move1_pant1_x1_img030.png,shirt1,shirt
shirt1_move1_pant1_x1_img031.png,shirt1,shirt
shirt1_move1_pant1_x1_img032.png,shirt1,shirt
shirt1_move1_pant1_x1_img033.png,shirt1,shirt
shirt1_move1_pant1_x1_img034.png,shirt1,shirt
shirt1_move1_pant1_x1_img035.png,shirt1,shirt
shirt1_move1_pant1_x1_img036.png,shirt1,shirt
shirt1_move1_pant1_x1_img037.png,shirt1,shirt
shirt1_move1_pant1_x1_img038.png,shirt1,shirt
shirt1_move1_pant1_x1_img039.png,shirt1,shirt
shirt1_move1_pant1_x1_img040.png,shirt1,shirt
shirt1_move1_pant1_x1_img041.png,shirt1,shirt
shirt1_move1_pant1_x1_img042.png,shirt1,shirt
shirt1_move1_pant1_x1_img043.png,shirt1,shirt
shirt1_move1_pant1_x1_img044.png,shirt1,shirt
shirt1_move1_pant1_x1_img045.png,shirt1,shirt
shirt1_move1_pant1_x1_img046.png,shirt1,shirt
shirt1_move1_pant1_x1_img047.png,shirt1,shirt
shirt1_move1_pant1_x1_img048.png,shirt1,shirt
shirt1_move1_pant1_x1_img049.png,shirt1,shirt
shirt1_move1_pant1_x1_img050.png,shirt1,shirt
shirt1_move1_pant1_x1_img051.png,shirt1,shirt
shirt1_move1_pant1_x1_img052.png,shirt1,shirt
shirt1_move1_pant1_x1_img053.png,shirt1,shirt
shirt1_move1_pant1_x1_img054.png,shirt1,shirt
shirt1_move1_pant1_x1_img055.png,shirt1,shirt
shirt1_move1_pant1_x1_img056.png,shirt1,shirt
shirt1_move1_pant1_x1_img057.png,shirt1,shirt
shirt1_move1_pant1_x1_img058.png,shirt1,shirt
shirt1_move1_pant1_x1_img059.png,shirt1,shirt
shirt1_move1_pant1_x1_img060.png,shirt1,shirt
shirt1_move1_pant1_x2_img001.png,shirt1,shirt
shirt1_move1_pant1_x2_img002.png,shirt1,shirt
shirt1_move1_pant1_x2_img003.png,shirt1,shirt
shirt1_move1_pant1_x2_img004.png,shirt1,shirt
shirt1_move1_pant1_x2_img005.png,shirt1,shirt
shirt1_move1_pant1_x2_img006.png,shirt1,shirt
shirt1_move1_pant1_x2_img007.png,shirt1,shirt
shirt1_move1_pant1_x2_img008.png,shirt1,shirt
shirt1_move1_pant1_x2_img009.png,shirt1,shirt
shirt1_move1_pant1_x2_img010.png,shirt1,shirt
shirt1_move1_pant1_x2_img011.png,shirt1,shirt
shirt1_move1_pant1_x2_img012.png,shirt1,shirt
shirt1_move1_pant1_x2_img013.png,shirt1,shirt
shirt1_move1_pant1_x2_img014.png,shirt1,shirt
shirt1_move1_pant1_x2_img015.png,shirt1,shirt
shirt1_move1_pant1_x2_img016.png,shirt1,shirt
shirt1_move1_pant1_x2_img017.png,shirt1,shirt
shirt1_move1_pant1_x2_img018.png,shirt1,shirt
shirt1_move1_pant1_x2_img019.png,shirt1,shirt
shirt1_move1_pant1_x2_img020.png,shirt1,shirt
shirt1_move1_pant1_x2_img021.png,shirt1,shirt
shirt1_move1_pant1_x2_img022.png,shirt1,shirt
shirt1_move1_pant1_x2_img023.png,shirt1,shirt
shirt1_move1_pant1_x2_img024.png,shirt1,shirt
shirt1_move1_pant1_x2_img025.png,shirt1,shirt
shirt1_move1_pant1_x2_img026.png,shirt1,shirt
shirt1_move1_pant1_x2_img027.png,shirt1,shirt
shirt1_move1_pant1_x2_img028.png,shirt1,shirt
shirt1_move1_pant1_x2_img029.png,shirt1,shirt
shirt1_move1_pant1_x2_img030.png,shirt1,shirt
shirt1_move1_pant1_x2_img031.png,shirt1,shirt
shirt1_move1_pant1_x2_img032.png,shirt1,shirt
shirt1_move1_pant1_x2_img033.png,shirt1,shirt
shirt1_move1_pant1_x2_img034.png,shirt1,shirt
shirt1_move1_pant1_x2_img035.png,shirt1,shirt
shirt1_move1_pant1_x2_img036.png,shirt1,shirt
shirt1_move1_pant1_x2_img037.png,shirt1,shirt
shirt1_move1_pant1_x2_img038.png,shirt1,shirt
shirt1_move1_pant1_x2_img039.png,shirt1,shirt
shirt1_move1_pant1_x2_img040.png,shirt1,shirt
shirt1_move1_pant1_x2_img041.png,shirt1,shirt
shirt1_move1_pant1_x2_img042.png,shirt1,shirt
shirt1_move1_pant1_x2_img043.png,shirt1,shirt
shirt1_move1_pant1_x2_img044.png,shirt1,shirt
shirt1_move1_pant1_x2_img045.png,shirt1,shirt
shirt1_move1_pant1_x2_img046.png,shirt1,shirt
shirt1_move1_pant1_x2_img047.png,shirt1,shirt
shirt1_move1_pant1_x2_img048.png,shirt1,shirt
shirt1_move1_pant1_x2_img049.png,shirt1,shirt
shirt1_move1_pant1_x2_img050.png,shirt1,shirt
shirt1_move1_pant1_x2_img051.png,shirt1,shirt
shirt1_move1_pant1_x2_img052.png,shirt1,shirt
shirt1_move1_pant1_x2_img053.png,shirt1,shirt
shirt1_move1_pant1_x2_img054.png,shirt1,shirt
shirt1_move1_pant1_x2_img055.png,shirt1,shirt
shirt1_move1_pant1_x2_img056.png,shirt1,shirt
